log_timestamp_utc,event_type,frame_seq_recv,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,rssi_dbm,ack_seq_sent,ack_type_sent_hex,decoded_ts_valid_check,decoded_latency_ms_calc,notes,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-09T04:43:01.656+00:00Z,SERIAL_PORT_OPEN_SUCCESS,,,,,,,,,,"Port: /dev/ttyAMA0, Baud: 9600",,,,,,,,,,,,,
2025-06-09T04:45:09.328+00:00Z,SERIAL_PORT_OPEN_SUCCESS,,,,,,,,,,"Port: /dev/ttyAMA0, Baud: 9600",,,,,,,,,,,,,
2025-06-09T04:51:49.708+00:00Z,SERIAL_PORT_OPEN_SUCCESS,,,,,,,,,,"Port: /dev/ttyAMA0, Baud: 9600",,,,,,,,,,,,,
2025-06-09T07:43:02.094+00:00Z,SERIAL_PORT_OPEN_SUCCESS,,,,,,,,,,"Port: /dev/ttyAMA0, Baud: 9600",,,,,,,,,,,,,
2025-06-09T07:43:07.100+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:12.107+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:17.114+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:22.120+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:27.122+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:32.126+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:37.132+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:42.139+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:47.141+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:52.150+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:43:57.157+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:02.164+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:07.171+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:12.178+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:17.179+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:22.186+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:27.192+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:32.199+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:37.205+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:42.212+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:47.218+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:44:52.225+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:05.490+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:09.915+00:00Z,SERIAL_PORT_OPEN_SUCCESS,,,,,,,,,,"Port: /dev/ttyAMA0, Baud: 9600",,,,,,,,,,,,,
2025-06-09T07:45:14.922+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:19.928+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:24.935+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:29.937+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:34.940+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:39.947+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:44.954+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:49.961+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:54.967+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:45:59.974+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:04.975+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:09.977+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:14.984+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:19.991+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:24.997+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:30.004+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:35.010+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:40.012+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:45.019+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:50.025+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:46:55.032+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:00.038+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:05.044+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:10.051+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:15.057+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:18.284+00:00Z,HANDSHAKE_SYN_RECV,,SYN,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:18.294+00:00Z,HANDSHAKE_ACK_SENT_OK,,,,,,0,0x00,,,,,,,,,,,,,,,,
2025-06-09T07:47:18.295+00:00Z,HANDSHAKE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:21.910+00:00Z,CTRL_PKT_RECV,0,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:21.922+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,0,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:22.553+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:22.582+00:00Z,DATA_FRAME_RECV_FULL,0,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:22.594+00:00Z,DATA_ACK_SENT_OK,,,,,,0,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:22.596+00:00Z,DECODE_SUCCESS,0,,,37,,,,True,1595,Msg #1,1749455241.0,0.76,-0.263,0.638,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14753341674805,129.0267333984375,138.4
2025-06-09T07:47:24.024+00:00Z,CTRL_PKT_RECV,1,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:24.034+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,1,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:24.666+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:24.695+00:00Z,DATA_FRAME_RECV_FULL,1,DATA_FRAME,38,37,-93,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:24.707+00:00Z,DATA_ACK_SENT_OK,,,,,,1,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:24.708+00:00Z,DECODE_SUCCESS,1,,,37,,,,True,1708,Msg #2,1749455243.0,0.76,-0.262,0.639,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14753341674805,129.0267333984375,138.1
2025-06-09T07:47:26.135+00:00Z,CTRL_PKT_RECV,2,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:26.147+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,2,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:26.777+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:26.806+00:00Z,DATA_FRAME_RECV_FULL,2,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:26.818+00:00Z,DATA_ACK_SENT_OK,,,,,,2,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:26.820+00:00Z,DECODE_SUCCESS,2,,,37,,,,True,1819,Msg #3,1749455245.0,0.76,-0.262,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14753723144531,129.0267333984375,137.7
2025-06-09T07:47:28.249+00:00Z,CTRL_PKT_RECV,3,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:28.258+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,3,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:28.891+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:28.920+00:00Z,DATA_FRAME_RECV_FULL,3,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:28.930+00:00Z,DATA_ACK_SENT_OK,,,,,,3,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:28.931+00:00Z,DECODE_SUCCESS,3,,,37,,,,True,931,Msg #4,1749455248.0,0.762,-0.264,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14754104614258,129.0267333984375,137.3
2025-06-09T07:47:30.360+00:00Z,CTRL_PKT_RECV,4,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:30.370+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,4,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:31.003+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:31.032+00:00Z,DATA_FRAME_RECV_FULL,4,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:31.043+00:00Z,DATA_ACK_SENT_OK,,,,,,4,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:31.043+00:00Z,DECODE_SUCCESS,4,,,37,,,,True,1043,Msg #5,1749455250.0,0.761,-0.264,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14754104614258,129.0267333984375,137.1
2025-06-09T07:47:32.472+00:00Z,CTRL_PKT_RECV,5,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:32.482+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,5,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:33.114+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:33.143+00:00Z,DATA_FRAME_RECV_FULL,5,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:33.154+00:00Z,DATA_ACK_SENT_OK,,,,,,5,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:33.156+00:00Z,DECODE_SUCCESS,5,,,37,,,,True,1155,Msg #6,1749455252.0,0.761,-0.265,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14754867553711,129.0267333984375,137.0
2025-06-09T07:47:34.600+00:00Z,CTRL_PKT_RECV,6,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:34.610+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,6,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:35.243+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:35.272+00:00Z,DATA_FRAME_RECV_FULL,6,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:35.283+00:00Z,DATA_ACK_SENT_OK,,,,,,6,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:35.284+00:00Z,DECODE_SUCCESS,6,,,37,,,,True,1284,Msg #7,1749455254.0,0.76,-0.265,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14754867553711,129.0267333984375,137.0
2025-06-09T07:47:36.731+00:00Z,CTRL_PKT_RECV,7,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:36.742+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,7,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:37.374+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:37.403+00:00Z,DATA_FRAME_RECV_FULL,7,DATA_FRAME,38,37,-93,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:37.414+00:00Z,DATA_ACK_SENT_OK,,,,,,7,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:37.416+00:00Z,DECODE_SUCCESS,7,,,37,,,,True,1415,Msg #8,1749455256.0,0.761,-0.264,0.636,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14754867553711,129.02674865722656,136.8
2025-06-09T07:47:38.873+00:00Z,CTRL_PKT_RECV,8,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:38.886+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,8,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:39.516+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:39.545+00:00Z,DATA_FRAME_RECV_FULL,8,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:39.554+00:00Z,DATA_ACK_SENT_OK,,,,,,8,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:39.555+00:00Z,DECODE_SUCCESS,8,,,37,,,,True,1555,Msg #9,1749455258.0,0.761,-0.264,0.634,0.0,0.0,0.0,-22.5,-47.8,0.0,35.147544860839844,129.02674865722656,136.8
2025-06-09T07:47:41.013+00:00Z,CTRL_PKT_RECV,9,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:41.022+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,9,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:41.655+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:41.684+00:00Z,DATA_FRAME_RECV_FULL,9,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:41.694+00:00Z,DATA_ACK_SENT_OK,,,,,,9,0xaa,,,,,,,,,,,,,,,,
2025-06-09T07:47:41.695+00:00Z,DECODE_SUCCESS,9,,,37,,,,True,1695,Msg #10,1749455260.0,0.759,-0.266,0.635,0.0,0.0,0.0,-22.5,-47.8,0.0,35.14755630493164,129.02674865722656,136.6
2025-06-09T07:47:43.155+00:00Z,CTRL_PKT_RECV,10,0x50,,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:43.167+00:00Z,SEND_PERMIT_ACK_SENT_OK,,,,,,10,0x55,,,,,,,,,,,,,,,,
2025-06-09T07:47:43.798+00:00Z,DATA_LEN_BYTE_RECV,,LEN_0x26,38,,,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:43.827+00:00Z,DATA_FRAME_RECV_FULL,10,DATA_FRAME,38,37,-94,,,,,,,,,,,,,,,,,,
2025-06-09T07:47:43.839+00:00Z,DATA_ACK_SENT_OK,,,,,,10,0xaa,,,,,,,,,,,,,,,,
