log_timestamp_utc,event_type,frame_seq_recv,rssi_dbm,notes,packet_type_recv_hex,data_len_byte_value,payload_len_on_wire,ack_seq_sent,ack_type_sent_hex,is_decoded_ts_valid,calculated_latency_ms,decoded_ts,decoded_accel_ax,decoded_accel_ay,decoded_accel_az,decoded_gyro_gx,decoded_gyro_gy,decoded_gyro_gz,decoded_angle_roll,decoded_angle_pitch,decoded_angle_yaw,decoded_gps_lat,decoded_gps_lon,decoded_gps_altitude
2025-06-13T06:20:21.772+00:00Z,SERIAL_PORT_OPEN,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:20:28.781+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:20:35.789+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:20:42.797+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:20:49.806+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:20:56.814+00:00Z,HANDSHAKE_SYN_TIMEOUT,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:21:00.470+00:00Z,HANDSHAKE_SYN_RECV,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:21:00.482+00:00Z,HANDSHAKE_ACK_SENT,,,,,,,0,0x00,,,,,,,,,,,,,,,
2025-06-13T06:21:00.483+00:00Z,HANDSHAKE_SUCCESS,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13T06:21:05.037+00:00Z,CTRL_PKT_RECV,0,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:21:05.050+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,0,0x55,,,,,,,,,,,,,,,
2025-06-13T06:21:08.379+00:00Z,CTRL_PKT_RECV,1,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:21:08.391+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,1,0x55,,,,,,,,,,,,,,,
2025-06-13T06:21:15.401+00:00Z,CTRL_PKT_RECV,3,,,0x50,,,,,,,,,,,,,,,,,,,
2025-06-13T06:21:15.410+00:00Z,SEND_PERMIT_ACK_SENT,,,,,,,3,0x55,,,,,,,,,,,,,,,
2025-06-13T06:21:18.956+00:00Z,DATA_FRAME_RECV,3,-22,,,33,32,,,,,,,,,,,,,,,,,
2025-06-13T06:21:18.966+00:00Z,DATA_ACK_SENT,,,,,,,3,0xaa,,,,,,,,,,,,,,,
